Total Population,Male,Female,Total HH,HH Farm,HH Non-Farm,Cultivable Area,Drip/Sprinkler Farmers,Irrigated Area,Unirrigated Area,Kuccha HH,PMAY HH,Waitlisted HH,Benefitted HH,Waitlisted Specific HH,Saubhagya HH,Vocational Training,Total Farmers,Soil Testing Farmers,Labour Budget,Piped Water HH,Color
-0.994560448,-0.977070071,-1.007884973,-1.011503708,0.179790645,-0.960525931,-0.84294644,-0.188312704,-0.411123246,-0.741054387,-0.163983299,-0.23581576,-0.459518169,-0.10355655,-0.475397182,-0.159087774,-0.330861972,-0.751861095,-0.052221801,-0.375468025,-0.193760372,red
-1.087139103,-1.065075311,-1.10442323,-1.028108974,-0.031002018,-0.983850642,-0.950804961,-0.051937226,-0.511835768,-0.804041867,-0.145467369,-0.23581576,-0.459518169,-0.468619152,-0.475397182,-0.159087774,-0.330861972,-0.633574157,-0.071924609,-0.363710689,-0.333460469,red
-0.362454515,-0.352315892,-0.370732476,-0.408317406,-0.161771541,-0.544179843,-0.46938766,-0.228423139,0.575859469,-0.738006605,0.613685746,0.147561698,0.013478033,0.078974752,-0.389302097,-0.159087774,-0.287857672,-0.535088556,-0.435019218,-0.318445921,0.426459887,red
-0.688423064,-0.690222803,-0.68481635,-0.70181549,-0.727788877,-0.779176305,-0.518493979,-0.2524894,0.457881943,-0.751213658,0.447042379,0.034803622,-0.098547383,-0.286087851,-0.415130623,-0.159087774,-0.330861972,-0.743002602,-0.46879546,-0.401105063,0.086241978,red
0.658501703,0.673235736,0.643205971,0.528219618,0.274452165,0.515345145,0.570614014,-0.035893052,-0.203943201,0.81433002,-0.182499229,0.598594001,-0.272809141,0.468374861,-0.475397182,0.120574009,1.95374146,3.269894813,2.236118642,-0.566419734,-0.423783808,green
-0.830729113,-0.859176259,-0.802191578,-1.07460372,-0.914184241,-0.4246407,-1.122677076,-0.276555661,-0.773688325,-0.902586797,-0.256562947,-0.23581576,-0.459518169,-0.626812947,-0.354864063,-0.159087774,-0.325486434,-1.217192532,-0.299914247,-0.551035646,-0.302148378,red
-1.21210534,-1.228632219,-1.193506057,-1.080415563,-0.32572139,-0.784424364,-0.917210978,-0.236445226,-0.729087065,-0.681622651,-0.207187135,-0.19071253,-0.4470709,-0.67548796,-0.320426029,-0.133193164,-0.314735359,-1.13329739,-0.465980774,-0.551622297,-0.933207438,red
-0.586377269,-0.620690362,-0.553103758,0.130523488,0.277379841,0.357903347,-0.323506818,-0.236445226,-0.692168732,-0.123675482,-0.096091557,-0.055402839,-0.397281826,-0.505125413,0.394163175,-0.055509335,-0.271731059,-0.171369247,0.505086204,-0.403611292,-0.536989059,red
0.688298277,0.538737162,0.824239099,0.931727591,0.72043479,1.107792799,-0.063725624,-0.2524894,-0.118078582,-0.005888892,0.113755646,0.102458467,2.353564507,0.918618738,2.107455363,-0.159087774,1.281799274,1.007331435,-0.387169541,1.056269982,0.284953323,green
-0.305850988,-0.324502915,-0.287766924,-0.089496292,0.05292469,-0.267198902,-0.732615065,-0.268533574,-0.719476213,-0.643261243,-0.182499229,-0.19071253,-0.310150947,-0.663319207,-0.354864063,-0.107298555,-0.05670956,-0.232857612,-0.4603514,-0.374190935,-0.017930939,red
-0.271370671,-0.329691903,-0.216844759,-0.106101558,0.374969037,0.194630371,-0.119233302,-0.276555661,-0.651279448,-0.17665608,-0.176327252,0.057355237,-0.173230994,-0.456450399,-0.320426029,-0.065867179,-0.05670956,2.594043891,-0.406872349,-0.343417306,0.402373663,red
-1.273791226,-1.287164006,-1.257928617,-1.225296513,-0.766824555,-0.695207346,-0.908082464,-0.276555661,-0.709174761,-0.669634711,-0.182499229,-0.213264145,-0.335045484,-0.67548796,-0.449568657,-0.138372086,-0.201849072,-0.753945447,-0.46879546,-0.413664625,-0.522537325,red
0.332533153,0.391577456,0.277316418,0.415303807,-0.576525623,-0.410062756,0.405292331,-0.164246443,2.329609776,-0.220899706,-0.213359111,-0.19071253,-0.372387289,-0.56596918,0.170315954,-0.159087774,-0.250228909,-0.170327072,-0.440648592,-0.141095295,-0.007694294,red
0.515896691,0.598721865,0.438277235,0.655665037,-0.60482649,-0.310932735,-0.39134369,-0.164246443,1.136972091,-0.722767699,-0.176327252,-0.19071253,-0.135889188,-0.018375276,0.454429734,-0.112477476,0.287324839,-0.029633356,-0.508201077,-0.26600306,-0.412945007,red
-0.014562064,-0.051977255,0.020008509,0.265026146,0.01291312,0.903118462,0.027813815,-0.2524894,-0.65887605,0.375195526,-0.201015158,0.305423004,-0.434623632,-0.334762865,-0.122407334,-0.143551008,0.066927802,-0.265165058,-0.381540167,-0.039179646,1.234552691,green
-1.534984612,-1.53602788,-1.529765056,-1.522530781,-0.937605648,-1.016505237,-0.97544581,-0.268533574,-0.747790819,-0.783743644,-0.250390971,-0.010299608,-0.310150947,-0.663319207,-0.397911606,-0.153908852,-0.309359822,-1.218234707,-0.477239521,-0.492709676,-0.87419619,red
0.131530841,0.077332331,0.181160491,1.133066446,0.966359564,0.12174065,-0.077387704,-0.204356878,-0.624144617,0.193135292,-0.139295393,0.147561698,0.150397987,-0.188737824,0.067001852,-0.153908852,-0.126591547,0.223615331,-0.398428288,-0.27842863,0.533041427,green
